Local time,Open,High,Low,Close,Volume
11.02.2020 04:00:00.000 GMT+0200,1.29155,1.29199,1.29105,1.29135,11602.3001
11.02.2020 08:00:00.000 GMT+0200,1.29135,1.29417,1.28941,1.29380,33324.4001
11.02.2020 12:00:00.000 GMT+0200,1.29380,1.29410,1.29152,1.29371,35052.15
11.02.2020 16:00:00.000 GMT+0200,1.29371,1.29679,1.29321,1.29501,30718.010499999997
11.02.2020 20:00:00.000 GMT+0200,1.29502,1.29664,1.29461,1.29468,8403.97
12.02.2020 00:00:00.000 GMT+0200,1.29448,1.29658,1.29349,1.29644,5789
12.02.2020 04:00:00.000 GMT+0200,1.29643,1.29688,1.29572,1.29612,5023.92
12.02.2020 08:00:00.000 GMT+0200,1.29613,1.29834,1.29511,1.29805,118414.58840000001
12.02.2020 12:00:00.000 GMT+0200,1.29807,1.29914,1.29617,1.29657,249180.12900000002
12.02.2020 16:00:00.000 GMT+0200,1.29656,1.29794,1.29535,1.29656,245837.2344
12.02.2020 20:00:00.000 GMT+0200,1.29657,1.29688,1.29556,1.29576,149736.828
13.02.2020 00:00:00.000 GMT+0200,1.29569,1.29649,1.29517,1.29583,127951.3223
13.02.2020 04:00:00.000 GMT+0200,1.29582,1.29608,1.29439,1.29508,100473.69930000001
13.02.2020 08:00:00.000 GMT+0200,1.29510,1.29837,1.29451,1.29716,181749.8398
13.02.2020 12:00:00.000 GMT+0200,1.29717,1.30453,1.29618,1.30236,232967.0195
13.02.2020 16:00:00.000 GMT+0200,1.30238,1.30693,1.30134,1.30560,180774.9687
13.02.2020 20:00:00.000 GMT+0200,1.30562,1.30613,1.30392,1.30413,96159.41020000001
14.02.2020 00:00:00.000 GMT+0200,1.30372,1.30491,1.30360,1.30463,91554.543
14.02.2020 04:00:00.000 GMT+0200,1.30462,1.30491,1.30398,1.30452,86120.19930000001
14.02.2020 08:00:00.000 GMT+0200,1.30452,1.30634,1.30191,1.30343,183798.0898
14.02.2020 12:00:00.000 GMT+0200,1.30343,1.30414,1.30009,1.30148,224541.07040000003
14.02.2020 16:00:00.000 GMT+0200,1.30147,1.30411,1.30098,1.30401,48065.31080000001
14.02.2020 20:00:00.000 GMT+0200,1.30401,1.30526,1.30296,1.30455,10756.2702
17.02.2020 00:00:00.000 GMT+0200,1.30324,1.30537,1.30295,1.30446,10351.16
17.02.2020 04:00:00.000 GMT+0200,1.30447,1.30504,1.30422,1.30482,9633.46
17.02.2020 08:00:00.000 GMT+0200,1.30482,1.30510,1.30288,1.30395,22309.7202
17.02.2020 12:00:00.000 GMT+0200,1.30397,1.30442,1.30099,1.30153,20901.4497
17.02.2020 16:00:00.000 GMT+0200,1.30152,1.30158,1.30021,1.30113,16891.5003
17.02.2020 20:00:00.000 GMT+0200,1.30113,1.30148,1.29977,1.30040,20263.4902
18.02.2020 00:00:00.000 GMT+0200,1.30040,1.30066,1.29915,1.29977,15177.1597
18.02.2020 04:00:00.000 GMT+0200,1.29975,1.30052,1.29925,1.29954,10546.4199
18.02.2020 08:00:00.000 GMT+0200,1.29954,1.30035,1.29705,1.29956,37444.7293
18.02.2020 12:00:00.000 GMT+0200,1.29958,1.30486,1.29931,1.30259,42774.6592
18.02.2020 16:00:00.000 GMT+0200,1.30260,1.30418,1.29997,1.30036,36568.500499999995
18.02.2020 20:00:00.000 GMT+0200,1.30036,1.30037,1.29947,1.29953,11385.299799999999
19.02.2020 00:00:00.000 GMT+0200,1.29953,1.30047,1.29942,1.30007,15617.169999999998
19.02.2020 04:00:00.000 GMT+0200,1.30007,1.30021,1.29954,1.29989,11703.6999
19.02.2020 08:00:00.000 GMT+0200,1.29988,1.30229,1.29742,1.30068,33778.2194
19.02.2020 12:00:00.000 GMT+0200,1.30068,1.30095,1.29728,1.29777,34155.720199999996
